"","doc","Freq"
"1","2",7
"2","5",7
"3","40",7
"4","6",6
"5","9",6
"6","11",6
"7","16",6
"8","18",6
"9","4",5
"10","13",5
"11","20",5
"12","26",5
"13","27",5
"14","28",5
"15","32",5
"16","33",5
"17","34",5
"18","7",4
"19","17",4
"20","25",4
"21","35",4
"22","37",4
"23","39",4
"24","1",3
"25","19",3
"26","22",3
"27","24",3
"28","38",3
"29","41",3
"30","42",3
"31","3",2
"32","8",2
"33","10",2
"34","12",2
"35","15",2
"36","21",2
"37","29",2
"38","30",2
"39","31",2
"40","14",1
"41","23",1
"42","36",1
