"","doc","Freq"
"1","45",12
"2","18",11
"3","49",11
"4","8",10
"5","16",10
"6","21",10
"7","31",10
"8","44",10
"9","47",10
"10","5",9
"11","6",9
"12","9",9
"13","13",9
"14","19",9
"15","24",9
"16","33",9
"17","34",9
"18","1",8
"19","3",8
"20","10",8
"21","12",8
"22","17",8
"23","22",8
"24","28",8
"25","32",8
"26","35",8
"27","7",7
"28","15",7
"29","25",7
"30","39",7
"31","40",7
"32","41",7
"33","46",7
"34","11",6
"35","23",6
"36","37",6
"37","38",6
"38","42",6
"39","26",5
"40","27",5
"41","29",5
"42","30",5
"43","36",5
"44","43",5
"45","48",5
"46","2",4
"47","20",4
"48","4",3
"49","14",3
