NUM,TIR
8,1
12,1
16,1
23,1
25,1
41,1
17,2
23,2
28,2
33,2
35,2
47,2
11,3
14,3
16,3
42,3
47,3
48,3
13,4
18,4
22,4
31,4
44,4
49,4
6,5
9,5
19,5
34,5
47,5
49,5
2,6
13,6
16,6
17,6
18,6
43,6
13,7
27,7
32,7
33,7
43,7
49,7
3,8
6,8
27,8
29,8
30,8
40,8
14,9
18,9
19,9
24,9
30,9
44,9
5,10
3,10
21,10
27,10
28,10
32,10
11,11
16,11
18,11
35,11
38,11
49,11
6,12
19,12
33,12
34,12
36,12
49,12
7,13
18,13
23,13
31,13
35,13
37,13
8,14
17,14
29,14
31,14
34,14
37,14
5,15
20,15
28,15
30,15
33,15
49,15
15,16
19,16
31,16
33,16
40,16
42,16
1,17
7,17
24,17
33,17
45,17
48,17
1,18
3,18
5,18
12,18
37,18
44,18
1,19
5,19
10,19
20,19
32,19
39,19
11,20
14,20
15,20
16,20
44,20
47,20
1,21
7,21
19,21
23,21
28,21
32,21
8,22
13,22
24,22
35,22
39,22
45,22
2,23
3,23
11,23
13,23
44,23
45,23
17,24
22,24
25,24
26,24
46,24
49,24
5,25
10,25
12,25
28,25
31,25
32,25
15,26
32,26
41,26
43,26
44,26
48,26
6,27
13,27
21,27
35,27
36,27
45,27
1,28
2,28
17,28
34,28
43,28
44,28
10,29
17,29
19,29
25,29
33,29
46,29
7,30
10,30
22,30
24,30
33,30
39,30
4,31
10,31
15,31
26,31
45,31
49,31
1,32
6,32
18,32
29,32
36,32
42,32
8,33
10,33
16,33
21,33
26,33
42,33
3,34
5,34
12,34
26,34
29,34
47,34
12,35
18,35
21,35
46,35
47,35
48,35
3,36
5,36
15,36
25,36
37,36
45,36
3,37
5,37
8,37
21,37
39,37
45,37
13,38
23,38
25,38
28,38
37,38
44,38
8,39
10,39
12,39
31,39
44,39
49,39
6,40
12,40
15,40
30,40
45,40
47,40
9,41
18,41
21,41
22,41
36,41
41,41
8,42
9,42
16,42
31,42
40,42
45,42
1,43
7,43
9,43
17,43
34,43
35,43
13,44
21,44
23,44
38,44
41,44
46,44
