Num,AllNums
8,1
17,2
11,3
13,4
6,5
2,6
15,7
3,8
14,9
5,10
11,11
6,12
7,13
8,14
5,15
15,16
1,17
1,18
1,19
11,20
1,21
8,22
2,23
17,24
5,25
15,26
12,27
23,28
14,29
18,30
9,31
13,32
27,33
6,34
18,35
13,36
16,37
19,38
18,39
17,40
20,41
19,42
7,43
3,44
5,45
14,46
7,47
13,48
3,49
22,
10,
32,
16,
28,
16,
22,
19,
16,
32,
27,
19,
21,
18,
33,
23,
29,
28,
31,
24,
5,
10,
15,
19,
24,
11,
25,
12,
41,
23,
33,
42,
31,
34,
17,
33,
29,
24,
27,
35,
34,
31,
31,
30,
33,
33,
12,
20,
16,
23,
35,
13,
26,
28,
43,
25,
35,
47,
44,
47,
18,
43,
30,
30,
28,
38,
36,
35,
34,
33,
40,
45,
37,
32,
44,
28,
39,
44,
46,
31,
44,
41,
47,
48,
49,
49,
43,
49,
40,
44,
32,
49,
49,
37,
37,
49,
42,
48,
44,
39,
17,
32,
45,
45,
49,
32,
48,
